TIC_ID,Teff,logg,Tmag,LS_Period,LS_Power,ACF_Period,Final_Period,Flag,Variability
230073581,3923.0,4.60936,6.9707,9.8449,0.000595,10.25,9.8449,Match,0.000579
256419669,3629.0,4.70255,7.59661,9.9533,0.000811,9.5,9.9533,Match,0.000684
409527090,3782.0,4.66767,7.64213,9.9415,0.000349,8.9167,9.9415,Match,0.000303
379084450,3452.0,4.76911,7.7547,10.8568,0.000447,0.5833,10.8568,Match,0.00052
125736050,3842.0,4.64973,7.90618,8.4809,0.000572,,8.4809,LS_only,0.000684
219780306,3753.0,4.68526,8.16639,7.8814,0.000349,14.9167,14.9167,Harmonic_Corrected,0.000398
436856183,3430.0,4.85586,8.27767,4.7659,0.000116,,4.7659,LS_only,0.000192
427555426,3941.0,4.59949,8.28646,11.9748,0.001111,10.8333,11.9748,Match,0.000943
178078333,3669.0,4.66404,8.36498,5.158,6.6e-05,,5.158,LS_only,0.000151
407210683,3709.0,4.72043,8.67229,10.8779,0.000393,10.1667,10.8779,Match,0.000494
251281112,3766.0,4.64996,8.68588,2.8776,0.000332,,2.8776,LS_only,0.000644
256316623,3523.0,4.83556,8.71256,13.3125,0.000518,13.0,13.3125,Match,0.00057
374029463,3445.0,4.78819,8.74783,4.3789,0.000484,13.0,4.3789,Match,0.000875
385254633,3581.0,4.7739,8.91954,6.9802,0.000329,6.75,6.9802,Match,0.000375
312545623,3894.0,4.73933,9.02372,10.8568,0.000247,1.0833,10.8568,Match,0.000292
101222257,3959.0,4.64781,9.06998,9.0659,0.000568,,9.0659,LS_only,0.000669
385254626,3549.0,4.78315,9.07414,6.9802,0.000365,6.6667,6.9802,Match,0.000403
20766994,3794.0,4.65337,9.08289,6.2518,0.000198,12.75,12.75,Harmonic_Corrected,0.000263
116489282,3710.0,4.67393,9.12441,7.4211,6.3e-05,,7.4211,LS_only,0.000159
407574350,3620.0,4.71428,9.14675,9.0789,0.00022,,9.0789,LS_only,0.000371
264222219,3804.0,4.72731,9.21523,9.1304,0.000316,,9.1304,LS_only,0.000444
436883712,3714.0,4.67696,9.24129,10.8673,7.5e-05,,10.8673,LS_only,0.000158
407457205,3626.0,4.75637,9.35335,10.8568,0.000412,0.75,10.8568,Match,0.000481
29015116,3930.0,4.62735,9.42726,11.9405,0.000561,0.8333,11.9405,Match,0.000657
396677530,3943.0,4.63741,9.42887,3.6713,0.000151,,3.6713,LS_only,0.000347
327729815,3543.0,4.66925,9.43758,4.2323,0.004442,8.0833,8.0833,Harmonic_Corrected,0.006504
246975019,3809.0,4.66842,9.4569,10.8779,0.001335,,10.8779,LS_only,0.002782
256746748,3999.0,4.58869,9.45912,11.9318,0.002488,12.8333,11.9318,Match,0.002831
272335628,3682.0,4.64067,9.46004,1.7231,0.005239,1.75,1.7231,Match,0.004078
424118400,3951.0,4.62876,9.46454,5.158,0.001184,23.1667,5.158,Match,0.002185
461408984,3835.0,4.62319,9.4702,10.8673,0.000104,,10.8673,LS_only,0.000162
251333140,3494.0,4.74083,9.47348,4.3789,0.001288,,4.3789,LS_only,0.002485
397367857,3914.0,4.671,9.50042,11.9577,0.000182,0.9167,11.9577,Match,0.000255
316965103,3897.0,4.56713,9.50285,8.494,0.000626,9.9167,8.494,Match,0.00069
219822564,3837.0,4.64905,9.50387,11.9231,0.000439,0.6667,11.9231,Match,0.000574
117502080,3681.0,4.70496,9.53511,4.3899,0.0001,,4.3899,LS_only,0.000205
192464657,3872.0,4.66229,9.55024,6.9934,0.000344,0.8333,6.9934,Match,0.00036
54202213,3775.0,4.70238,9.55683,10.8673,0.000691,10.5833,10.8673,Match,0.000774
331725581,3935.0,4.66289,9.5734,9.8815,0.000603,9.6667,9.8815,Match,0.000516
236899387,3979.0,4.57209,9.5804,8.4677,0.00048,,8.4677,LS_only,0.000569
118444304,3946.61,4.44812,9.608,5.9497,0.000137,0.75,5.9497,Match,0.000206
229552665,3858.0,4.64938,9.62394,11.8876,0.000433,0.8333,11.8876,Match,0.000525
343564093,3789.0,4.78041,9.63991,11.9663,0.000223,0.6667,11.9663,Match,0.000288
418175966,3491.0,4.73103,9.67731,6.6149,0.000285,,6.6149,LS_only,0.000443
229589015,3882.0,4.65663,9.68528,11.8966,0.000121,0.9167,11.8966,Match,0.0002
256324377,3652.0,4.66497,9.68774,9.1304,0.000392,0.6667,9.1304,Match,0.000459
428666898,3875.0,4.68548,9.68913,8.5329,0.000374,9.1667,8.5329,Match,0.000415
470943473,3622.0,4.75096,9.69448,9.8449,0.000638,,9.8449,LS_only,0.000643
28831845,3990.0,4.56352,9.7252,2.6728,0.001375,,2.6728,LS_only,0.002264
279606581,3567.0,4.82329,9.72908,5.1818,0.000137,,5.1818,LS_only,0.000355
21120590,3700.0,4.69918,9.74719,11.9748,0.000326,10.8333,11.9748,Match,0.000374
247009124,3759.0,4.57087,9.7509,11.9748,0.00125,,11.9748,LS_only,0.00131
334802883,3655.0,4.75415,9.77391,9.181,0.000412,,9.181,LS_only,0.000494
407055622,3542.0,4.69734,9.77931,10.8779,0.000332,,10.8779,LS_only,0.000349
28833320,3623.0,4.78494,9.82642,4.9183,0.000136,,4.9183,LS_only,0.000274
331609888,3680.0,4.6959,9.84442,6.2518,0.00243,6.0833,6.2518,Match,0.002618
405415381,3736.0,4.69521,9.88641,9.9176,0.017929,9.5833,9.9176,Match,0.012841
235928353,3805.0,4.65071,9.91644,7.9081,0.001946,9.3333,7.9081,Match,0.001846
229742951,3590.0,4.64692,9.94056,9.9057,0.00482,11.1667,9.9057,Match,0.004235
357032546,3727.0,4.64458,9.95622,0.5127,0.002325,0.9167,0.5127,Match,0.013315
264615805,3901.0,4.66524,9.96265,4.2216,0.001415,,4.2216,LS_only,0.002991
268319776,3657.0,4.7984,9.98978,7.8947,0.00041,7.5833,7.8947,Match,0.000463
458775752,3381.0,4.81304,9.99731,3.3732,0.000843,3.3333,3.3732,Match,0.000819
390171290,3656.0,4.59411,10.0022,11.9663,0.000188,,11.9663,LS_only,0.000394
233051394,3864.0,4.68453,10.0085,13.2857,0.001867,13.8333,13.2857,Match,0.001679
272785770,3534.0,4.74657,10.0091,4.001,0.019392,3.9167,4.001,Match,0.014262
264052522,3445.0,4.63604,10.0162,2.4346,0.007253,2.4167,2.4346,Match,0.006589
461496554,3947.0,4.57065,10.0241,4.6271,0.000827,8.6667,8.6667,Harmonic_Corrected,0.000967
250602194,3346.0,4.84196,10.0316,0.7489,0.006187,1.5,1.5,Harmonic_Corrected,0.006906
293066086,3911.0,4.55331,10.0389,0.5021,0.006215,0.9167,0.9167,Harmonic_Corrected,0.029418
356735146,3680.0,4.75693,10.0407,13.194,0.000272,1.25,13.194,Match,0.000334
445638121,3783.0,4.66182,10.0562,4.5484,0.00026,0.5833,4.5484,Match,0.000386
458889878,3666.0,4.81344,10.0589,3.8868,0.000366,,3.8868,LS_only,0.000686
82238855,3993.0,4.62432,10.0877,3.8764,0.000595,,3.8764,LS_only,0.001211
387676042,3616.0,4.73546,10.0946,5.158,0.000256,0.5833,5.158,Match,0.000429
407415127,3768.0,4.64972,10.0998,10.8568,0.000119,,10.8568,LS_only,0.000237
235928358,3737.0,4.67155,10.1017,9.1304,0.00025,9.0833,9.1304,Match,0.000271
292605805,3718.0,4.64853,10.1148,3.2167,0.001149,,3.2167,LS_only,0.002068
385198959,3692.0,4.65866,10.1272,11.9405,0.000274,,11.9405,LS_only,0.000354
367337817,3605.0,4.81624,10.1294,9.1685,0.000154,,9.1685,LS_only,0.000305
259097905,3699.0,4.71045,10.1328,8.4545,0.000262,,8.4545,LS_only,0.000373
359496368,3897.0,4.68726,10.1358,11.9231,0.000226,13.1667,11.9231,Match,0.000339
320049266,3977.0,4.57781,10.1497,11.9663,0.000236,0.5833,11.9663,Match,0.000451
264992033,3418.0,4.91204,10.1546,4.4008,0.000146,,4.4008,LS_only,0.000294
359630395,3576.0,4.74346,10.1602,9.0659,0.000185,0.6667,9.0659,Match,0.000293
429066777,3370.0,4.87502,10.1664,3.6911,0.00011,,3.6911,LS_only,0.000225
317066460,3896.0,4.69125,10.1665,10.7592,0.000363,1.5,10.7592,Match,0.000355
256665574,3782.0,4.72599,10.1698,9.8936,0.000459,9.9167,9.8936,Match,0.000553
429066731,3889.0,4.63384,10.1714,10.8355,0.000654,10.0833,10.8355,Match,0.000696
22750743,3194.0,4.9953,10.197,1.4812,0.00161,13.0,1.4812,Match,0.004976
252164466,3885.0,4.65667,10.2016,11.9318,0.000773,10.1667,11.9318,Match,0.000625
178041944,3751.0,4.69043,10.2023,6.1869,0.000106,,6.1869,LS_only,0.000247
21131100,3597.0,4.67328,10.2154,9.181,0.000142,0.6667,9.181,Match,0.000245
370943232,3333.0,4.78661,10.2168,11.9577,0.002129,,11.9577,LS_only,0.001969
269663324,3909.0,4.69601,10.2248,9.9057,0.000214,0.5833,9.9057,Match,0.000327
354790980,3814.0,4.66709,10.2442,5.64,0.010412,5.5833,5.64,Match,0.008324
229459070,3533.0,4.78981,10.2589,6.5625,0.000123,,6.5625,LS_only,0.000293
229690324,3604.0,4.83852,10.2682,4.5146,0.000142,,4.5146,LS_only,0.000303
285466899,3486.0,4.62054,10.2724,4.9183,0.068236,5.0,4.9183,Match,0.066033
245425195,3619.0,4.68301,10.281,6.5757,0.000399,,6.5757,LS_only,0.000549
